year,Km_travelled,fuel_type,city,assembly,engine,body_type,interior_scores,exterior_scores,comfort_scores,company,price
2020,20000,5.0,2.0,0.0,1000,2.0,2.0,2.0,0.0,39.0,0.65
2022,75000,5.0,0.0,1.0,1598,8.0,2.0,2.0,1.0,39.0,0.57
2007,90000,5.0,0.0,0.0,1800,8.0,1.0,1.0,2.0,39.0,0.57
2019,100000,5.0,1.0,1.0,1300,8.0,2.0,2.0,1.0,39.0,0.46
2013,98000,2.0,1.0,0.0,1800,8.0,2.0,2.0,2.0,39.0,0.46
2021,47000,5.0,3.0,0.0,1000,2.0,2.0,1.0,2.0,39.0,0.66
2014,125000,2.0,1.0,0.0,1500,3.0,2.0,1.0,2.0,39.0,0.35
2020,75000,5.0,0.0,1.0,1800,8.0,2.0,0.0,2.0,15.0,0.64
2015,105000,2.0,2.0,0.0,1500,4.0,2.0,1.0,2.0,39.0,0.45
2013,171000,5.0,2.0,0.0,660,6.0,1.0,2.0,1.0,8.0,0.17
2025,6000,2.0,1.0,1.0,1500,2.0,0.0,0.0,0.0,26.0,0.09
2022,17500,5.0,3.0,0.0,3500,7.0,0.0,0.0,0.0,25.0,9.25
2022,43000,5.0,1.0,1.0,2500,8.0,0.0,2.0,0.0,17.0,0.9
2022,68000,5.0,1.0,1.0,1500,8.0,2.0,2.0,1.0,3.0,0.38
2009,47000,5.0,2.0,0.0,3000,8.0,2.0,2.0,2.0,2.0,0.98
2005,180000,5.0,0.0,1.0,1300,8.0,2.0,1.0,1.0,39.0,0.23
2020,32200,5.0,0.0,0.0,1000,2.0,2.0,2.0,2.0,39.0,0.63
2005,81000,5.0,0.0,1.0,1600,8.0,1.0,2.0,1.0,29.0,0.16
2015,146998,5.0,0.0,1.0,1800,8.0,2.0,0.0,2.0,39.0,0.42
2018,114000,5.0,0.0,1.0,1500,4.0,0.0,1.0,2.0,15.0,0.41
2004,124567,5.0,0.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.2
