year,price,Km_travelled,fuel_type,transmission,city,color,assembly,engine,body_type,interior_scores,exterior_scores,safety_scores,comfort_scores,company
2007,1.1,131000,Petrol,Automatic,Punjab,White,Imported,4000,SUV,15,24,27,24,Toyota
2023,1.03,46000,Hybrid,Automatic,Islamabad,Black,Imported,1500,SUV,37,23,62,35,Haval
2016,0.43,79000,Petrol,Automatic,Sindh,other,Local,1800,Sedan,14,17,27,24,Honda
2019,0.41,53000,Petrol,Automatic,Sindh,White,Local,1300,Sedan,10,0,16,4,Toyota
2023,0.81,31000,Petrol,Automatic,Islamabad,White,Local,2000,Crossover,28,23,45,42,Hyundai
2017,0.47,61000,Petrol,Automatic,Sindh,other,Local,1800,Sedan,24,17,40,30,Toyota
2020,0.63,52000,Petrol,Automatic,Sindh,Black,Imported,1000,Crossover,23,20,57,55,Toyota
2020,0.43,79000,Petrol,Automatic,Punjab,White,Local,1300,Sedan,28,13,39,13,Toyota
2018,1.3,180000,Diesel,Automatic,Islamabad,White,Local,2800,SUV,29,13,40,42,Toyota
2018,0.43,53000,Petrol,Automatic,Islamabad,Silver,Local,1500,MPV,7,6,27,13,Honda
1991,0.04,150000,Petrol,Manual,Sindh,other,Local,1000,Sedan,0,0,0,0,Nissan
2016,0.56,120,Petrol,Automatic,Islamabad,White,Local,1500,Sedan,23,21,40,35,Honda
2013,0.21,138000,Petrol,Automatic,Punjab,Black,Imported,660,Sedan,7,0,27,8,Daihatsu
2012,0.36,165000,Hybrid,Automatic,Islamabad,Blue,Imported,1500,Hatchback,18,9,45,29,Toyota
2013,0.2,156000,Petrol,Automatic,Punjab,Silver,Imported,660,Micro Van,10,0,13,9,Suzuki
2020,0.5,36000,Petrol,Automatic,Islamabad,other,Imported,660,SUV,7,6,27,13,Suzuki
2015,0.33,103000,Petrol,Manual,Punjab,White,Local,1500,Sedan,14,9,17,13,Honda
2010,0.23,255000,Petrol,Manual,Punjab,White,Local,1300,Sedan,10,0,23,8,Toyota
2026,0.25,4823,Petrol,Manual,Punjab,other,Local,1600,Sedan,28,21,49,34,Toyota
2021,0.65,80353,Petrol,Automatic,Islamabad,White,Local,1800,Sedan,18,21,40,35,Honda
1995,0.21,160000,Petrol,Automatic,Islamabad,other,Imported,1500,Sedan,14,6,21,13,Toyota
2016,0.33,2,Petrol,Manual,Punjab,Black,Local,1300,Sedan,10,0,6,8,Toyota
2022,0.6,53000,Petrol,Automatic,Punjab,other,Local,1600,Sedan,18,6,33,13,Toyota
2022,0.59,17000,Petrol,Automatic,Sindh,Black,Local,1598,Sedan,18,10,45,13,Toyota
2022,0.25,27000,Petrol,Automatic,Sindh,White,Local,1299,Sedan,18,10,50,13,Proton
2025,1.19,14000,Hybrid,Automatic,Punjab,Black,Imported,1500,SUV,43,30,62,60,Haval
2025,0.73,21000,Petrol,Automatic,Sindh,White,Local,1800,Sedan,24,21,44,30,Toyota
2021,0.35,67000,Petrol,Automatic,Punjab,other,Imported,660,Hatchback,10,6,34,19,Honda
2013,0.85,270000,Petrol,Automatic,Islamabad,White,Imported,1600,Sedan,18,13,44,50,BMW
2010,0.42,92500,Petrol,Automatic,Punjab,other,Local,1800,Sedan,14,14,27,24,Toyota
2019,0.61,40000,Petrol,Automatic,Punjab,Grey,Local,1800,Sedan,24,17,40,30,Toyota
2024,1.03,36000,Hybrid,Automatic,Islamabad,White,Local,1500,SUV,37,23,62,35,Haval
2019,0.66,96000,Petrol,Automatic,Punjab,Black,Local,2000,Crossover,28,23,38,42,KIA
2018,0.6,185000,Hybrid,Automatic,Islamabad,Blue,Imported,1500,Crossover,34,20,50,53,Honda
2013,0.36,129000,Petrol,Manual,Punjab,other,Local,1300,Sedan,18,9,27,8,Toyota
2014,0.49,135000,Hybrid,Automatic,Islamabad,White,Imported,1500,Crossover,38,20,45,45,Honda
2015,0.45,120000,Petrol,Automatic,Sindh,Silver,Local,1800,Sedan,24,17,34,19,Toyota
1995,0.14,250000,Petrol,Manual,Islamabad,White,Local,1500,Sedan,3,6,0,4,Honda
2009,0.27,200000,Petrol,Manual,Sindh,other,Local,1300,Sedan,10,0,23,8,Toyota
2016,0.36,116820,Petrol,Manual,Punjab,White,Local,1300,Sedan,0,0,6,8,Toyota
2014,0.32,236267,Petrol,Manual,Punjab,White,Local,1300,Sedan,10,0,6,8,Toyota
2014,0.34,221500,Petrol,Manual,Punjab,White,Local,1300,Sedan,19,10,23,13,Toyota
2005,0.15,250000,Petrol,Automatic,Punjab,White,Local,1300,Sedan,7,9,3,13,Mitsubishi
2021,0.56,91000,Petrol,Automatic,Islamabad,White,Local,1800,Sedan,18,21,40,35,Honda
2025,0.9,11084,Petrol,Automatic,Islamabad,White,Local,1500,Sedan,23,21,44,35,Honda
2019,0.38,58000,Petrol,Automatic,Sindh,Silver,Local,1300,Sedan,10,3,17,13,Honda
2022,0.38,24000,Hybrid,Automatic,Punjab,White,Imported,660,Sedan,0,0,0,0,Nissan
2007,0.24,162000,Petrol,Automatic,Punjab,Black,Local,1800,Sedan,14,17,27,13,Honda
2002,0.12,110000,Petrol,Manual,Punjab,Blue,Local,1300,Sedan,10,0,3,4,Honda
2017,0.69,120000,Hybrid,Automatic,Islamabad,White,Imported,1800,Crossover,18,13,50,38,Toyota
2019,0.34,65000,Petrol,Automatic,other,White,Imported,660,Hatchback,18,14,39,38,Honda
2024,0.45,21000,Petrol,Automatic,Sindh,White,Local,1300,Sedan,10,11,39,13,Toyota
2020,0.65,25000,Petrol,Automatic,Un-Registered,White,Imported,1000,Crossover,23,13,45,45,Toyota
2020,0.61,13000,Petrol,Automatic,Un-Registered,other,Imported,1000,Crossover,23,13,45,45,Toyota
2020,4.0,27000,Petrol,Automatic,Un-Registered,White,Imported,4600,SUV,18,21,62,43,Toyota
2017,0.42,47000,Petrol,Automatic,Sindh,Grey,Local,1300,Sedan,7,0,27,13,Toyota
2016,0.4,59000,Petrol,Automatic,Sindh,White,Local,1800,Sedan,18,3,34,13,Honda
2015,0.49,64527,Hybrid,Automatic,Sindh,White,Imported,1500,Crossover,7,6,27,19,Honda
2012,0.52,89000,Petrol,Automatic,Sindh,Black,Imported,2400,Sedan,14,9,32,31,Honda
2022,0.77,26000,Petrol,Automatic,Sindh,White,Imported,1600,Crossover,28,23,62,35,Chery
2018,0.53,46000,Petrol,Automatic,Sindh,Silver,Local,1800,Sedan,18,21,40,35,Honda
2022,0.65,26000,Petrol,Automatic,Sindh,White,Local,2000,Crossover,28,13,33,35,KIA
2023,0.68,38000,Petrol,Automatic,Sindh,White,Local,2000,Crossover,28,13,33,35,KIA
2007,0.29,197000,Hybrid,Automatic,Islamabad,Silver,Imported,1500,Sedan,23,9,40,19,Toyota
2016,0.42,260000,Hybrid,Automatic,Islamabad,Grey,Imported,1500,Hatchback,18,3,40,24,Toyota
2023,0.39,2975,Hybrid,Automatic,Un-Registered,White,Imported,660,Sedan,38,20,62,60,Mitsubishi
2022,0.58,157000,Hybrid,Automatic,Punjab,Black,Imported,1500,Crossover,28,13,54,50,Honda
2005,1.2,279000,Petrol,Automatic,Sindh,Black,Imported,4700,SUV,18,17,28,39,Toyota
1990,0.14,100000,Petrol,Automatic,other,other,Imported,1500,Sedan,7,6,3,8,Toyota
2021,0.3,12000,Petrol,Manual,Punjab,White,Local,1000,Mini Van,10,3,6,14,Changan
2014,0.36,180000,Hybrid,Automatic,Islamabad,Silver,Imported,1500,Hatchback,0,0,27,13,Toyota
2017,0.57,115000,Petrol,Automatic,Islamabad,Silver,Local,1800,Sedan,18,21,40,35,Honda
2019,0.5,70000,Petrol,Automatic,Punjab,White,Local,1300,Sedan,14,0,17,13,Toyota
2013,0.42,90000,Hybrid,Automatic,Sindh,Black,Imported,1500,Crossover,34,20,50,38,Honda
2022,0.84,46000,Petrol,Automatic,Sindh,Black,Local,1500,Sedan,29,21,44,35,Honda
2019,0.39,90000,Petrol,Manual,Punjab,Black,Local,1300,Sedan,19,10,23,13,Honda
2012,0.42,185000,Hybrid,Automatic,Punjab,Silver,Imported,1800,Sedan,18,13,45,30,Toyota
2006,0.17,178885,Petrol,Automatic,other,Black,Imported,1600,Sedan,19,9,23,13,Suzuki
2014,0.37,131000,Petrol,Automatic,Sindh,White,Imported,1500,Mini Van,18,6,34,23,Honda
2021,0.6,24900,Petrol,Automatic,Islamabad,Black,Local,1598,Sedan,18,10,45,13,Toyota
